,Year,Country,Activity,Sex,dead
0,2018,usa,surf,M,No
1,2017,usa,surf,F,No
2,2017,usa,surf,F,No
3,2017,usa,surf,F,No
4,2017,usa,surf,M,No
5,2017,usa,surf,M,No
6,2017,usa,surf,M,No
7,2017,usa,surf,M,Unknown
8,2017,usa,surf,M,No
9,2017,usa,surf,M,No
10,2017,usa,surf,M,No
11,2017,usa,surf,M,No
12,2017,usa,surf,M,No
13,2017,usa,surf,M,No
14,2017,usa,surf,M,No
15,2017,usa,surf,M,No
16,2017,usa,surf,F,Unknown
17,2017,usa,surf,F,No
18,2017,usa,surf,M,No
19,2017,usa,surf,M,No
20,2017,usa,surf,F,No
21,2017,usa,surf,F,No
22,2017,usa,surf,M,No
23,2016,usa,surf,M,No
24,2016,usa,surf,M,Unknown
25,2016,usa,surf,M,No
26,2016,usa,surf,M,No
27,2016,usa,surf,M,No
28,2016,usa,surf,M,No
29,2016,usa,surf,M,No
30,2016,usa,surf,M,No
31,2016,usa,surf,M,No
32,2016,usa,surf,M,No
33,2016,usa,surf,M,No
34,2016,usa,surf,M,No
35,2016,usa,surf,M,No
36,2016,usa,surf,M,No
37,2016,usa,surf,M,No
38,2016,usa,surf,F,No
39,2016,usa,surf,M,No
40,2016,usa,surf,M,No
41,2016,usa,surf,M,No
42,2016,usa,surf,M,Unknown
43,2016,usa,surf,M,No
44,2016,usa,surf,Unknown,Unknown
45,2016,usa,surf,M,No
46,2016,usa,surf,M,No
47,2016,usa,surf,F,No
48,2015,usa,surf,M,No
49,2015,usa,surf,M,No
50,2015,usa,surf,F,Unknown
51,2015,usa,surf,M,No
52,2015,usa,surf,M,No
53,2015,usa,surf,M,Unknown
54,2015,usa,surf,M,No
55,2015,usa,surf,M,No
56,2015,usa,surf,M,No
57,2015,usa,surf,M,No
58,2015,usa,surf,M,No
59,2015,usa,surf,F,No
60,2015,usa,surf,M,No
61,2015,usa,surf,M,No
62,2015,usa,surf,M,No
63,2015,usa,surf,M,No
64,2015,usa,surf,M,No
65,2015,usa,surf,M,No
66,2014,usa,surf,M,No
67,2014,usa,surf,M,No
68,2014,usa,surf,M,No
69,2014,usa,surf,F,No
70,2014,usa,surf,M,No
71,2014,usa,surf,F,No
72,2014,usa,surf,M,No
73,2014,usa,surf,M,No
74,2014,usa,surf,M,No
75,2014,usa,surf,M,No
76,2014,usa,surf,M,Unknown
77,2014,usa,surf,F,No
78,2014,usa,surf,M,No
79,2014,usa,surf,M,No
80,2014,usa,surf,M,No
81,2014,usa,surf,M,No
82,2014,usa,surf,M,No
83,2014,usa,surf,M,No
84,2014,usa,surf,M,No
85,2014,usa,surf,M,No
86,2014,usa,surf,M,No
87,2014,usa,surf,M,No
88,2014,usa,surf,M,No
89,2014,usa,surf,M,No
90,2014,usa,surf,M,No
91,2014,usa,surf,M,No
92,2013,usa,surf,M,No
93,2013,usa,surf,M,No
94,2013,usa,surf,M,No
95,2013,usa,surf,M,No
96,2013,usa,surf,M,No
97,2013,usa,surf,M,No
98,2013,usa,surf,M,No
99,2013,usa,surf,F,No
100,2013,usa,surf,M,No
101,2013,usa,surf,M,No
102,2013,usa,surf,F,No
103,2013,usa,surf,M,No
104,2013,usa,surf,M,No
105,2013,usa,surf,F,No
106,2013,usa,surf,F,No
107,2013,usa,surf,M,Unknown
108,2013,usa,surf,M,No
109,2013,usa,surf,M,No
110,2013,usa,surf,M,No
111,2013,usa,surf,M,No
112,2013,usa,surf,Unknown,No
113,2013,usa,surf,M,No
114,2013,usa,surf,M,No
115,2013,usa,surf,M,No
116,2012,usa,surf,M,No
117,2012,usa,surf,M,No
118,2012,usa,surf,M,No
119,2012,usa,surf,M,No
120,2012,usa,surf,M,Yes
121,2012,usa,surf,M,No
122,2012,usa,surf,M,No
123,2012,usa,surf,M,No
124,2012,usa,surf,M,No
125,2012,usa,surf,M,No
126,2012,usa,surf,Unknown,No
127,2012,usa,surf,M,No
128,2012,usa,surf,M,No
129,2012,usa,surf,M,No
130,2012,usa,surf,M,No
131,2012,usa,surf,M,No
132,2012,usa,surf,M,No
133,2012,usa,surf,M,No
134,2012,usa,surf,M,No
135,2012,usa,surf,F,No
136,2012,usa,surf,M,No
137,2012,usa,surf,M,No
138,2012,usa,surf,M,No
139,2012,usa,surf,M,No
140,2012,usa,surf,M,No
141,2012,usa,surf,F,No
142,2012,usa,surf,M,No
143,2012,usa,surf,M,No
144,2012,usa,surf,M,No
